,company_name,security,sector
339,AMBEON CAPITAL PLC,TAP.N0000C`,
340,TANGERINE BEACH HOTELS PLC,TANG.N0000C`,
341,TAL LANKA HOTELS PLC,TAJ.N0000C`,
342,THREE ACRE FARMS PLC,TAFL.N0000C`,
343,SWADESHI INDUSTRIAL WORKS  PLC,SWAD.N0000C`,
344,SUNSHINE HOLDINGS PLC,SUN.N0000C`,
345,DOLPHIN HOTELS PLC,STAF.N0000C`,
346,AITKEN SPENCE PLC,SPEN.N0000C`,
347,CONVENIENCE FOODS LANKA PLC,SOY.N0000C`,
348,SATHOSA MOTORS PLC,SMOT.N0000C`,
349,SRI LANKA TELECOM PLC,SLTL.N0000C`,
350,SERENDIB LAND PLC,SLND.N0000C`,
351,SIERRA CABLES PLC,SIRA.N0000C`,
352,SINGER (SRI LANKA) PLC,SINS.N0000C`,
353,SINGHE HOSPITALS PLC,SINH.N0000C`,
354,SAMSON INTERNATIONAL PLC,SIL.N0000C`,
355,SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000C`,
356,SERENDIB HOTELS PLC [Non-Voting],SHOT.X0000C`,
357,SERENDIB HOTELS PLC,SHOT.N0000C`,
358,SOFTLOGIC HOLDINGS PLC,SHL.N0000C`,
359,LEE HEDGES PLC,SHAW.N0000C`,
360,SENKADAGALA FINANCE COMPANY PLC,SFCL.N0000C`,
361,SINGER FINANCE LANKA PLC,SFIN.N0000C`,
362,SEYLAN BANK PLC [Non-Voting],SEYB.X0000C`,
363,SEYLAN BANK PLC,SEYB.N0000C`,
364,THE KINGSBURY PLC,SERV.N0000C`,
365,S M B LEASING PLC [Non-Voting],SEMB.X0000C`,
366,S M B LEASING PLC,SEMB.N0000C`,
367,SANASA DEVELOPMENT BANK PLC,SDB.N0000C`,
368,SOFTLOGIC CAPITAL PLC,SCAP.N0000C`,
369,SAMPATH BANK PLC,SAMP.N0000C`,
370,RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000C`,
371,ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000C`,
372,R I L PROPERTY PLC,RIL.N0000C`,
373,RICHARD PIERIS AND COMPANY PLC,RICH.N0000C`,
374,THE FORTRESS RESORTS PLC,RHTL.N0000C`,
375,RENUKA HOLDINGS PLC [Non-Voting],RHL.X0000C`,
376,RENUKA HOLDINGS PLC,RHL.N0000C`,
377,RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000C`,
378,RICHARD PIERIS EXPORTS PLC,REXP.N0000C`,
379,RAMBODA FALLS PLC,RFL.N0000C`,
380,RENUKA CITY HOTELS PLC.,RENU.N0000C`,
381,CITRUS LEISURE PLC,REEF.N0000C`,
382,ROYAL CERAMICS LANKA PLC,RCL.N0000C`,
383,RENUKA HOTELS PLC,RCH.N0000C`,
384,RENUKA AGRI FOODS PLC,RAL.N0000C`,
385,PEOPLE S LEASING & FINANCE PLC,PLC.N0000C`,
386,PRIME LANDS RESIDENCIES PLC,PLR.N0000C`,
387,COLOMBO CITY HOLDINGS PLC,PHAR.N0000C`,
388,PEOPLE`S MERCHANT FINANCE  PLC,PMB.N0000C`,
389,PEOPLE S INSURANCE PLC,PINS.N0000C`,
390,PEGASUS HOTELS OF CEYLON PLC,PEG.N0000C`,
391,SWISSTEK (CEYLON) PLC,PARQ.N0000C`,
392,PARAGON CEYLON PLC,PARA.N0000C`,
393,PANASIAN POWER PLC,PAP.N0000C`,
394,PALM GARDEN HOTELS PLC,PALM.N0000C`,
